year,level_1,value
2000,"Doctors Per 10,000 Total Population",14
2000,"Dentists Per 10,000 Total Population",3
2000,"Nurses Per 10,000 Total Population",41
2001,"Doctors Per 10,000 Total Population",14
2001,"Dentists Per 10,000 Total Population",3
2001,"Nurses Per 10,000 Total Population",42
2002,"Doctors Per 10,000 Total Population",14
2002,"Dentists Per 10,000 Total Population",3
2002,"Nurses Per 10,000 Total Population",43
2003,"Doctors Per 10,000 Total Population",15
2003,"Dentists Per 10,000 Total Population",3
2003,"Nurses Per 10,000 Total Population",46
2004,"Doctors Per 10,000 Total Population",16
2004,"Dentists Per 10,000 Total Population",3
2004,"Nurses Per 10,000 Total Population",46
2005,"Doctors Per 10,000 Total Population",16
2005,"Dentists Per 10,000 Total Population",3
2005,"Nurses Per 10,000 Total Population",47
2006,"Doctors Per 10,000 Total Population",16
2006,"Dentists Per 10,000 Total Population",3
2006,"Nurses Per 10,000 Total Population",48
2007,"Doctors Per 10,000 Total Population",16
2007,"Dentists Per 10,000 Total Population",3
2007,"Nurses Per 10,000 Total Population",49
2008,"Doctors Per 10,000 Total Population",16
2008,"Dentists Per 10,000 Total Population",3
2008,"Nurses Per 10,000 Total Population",50
2009,"Doctors Per 10,000 Total Population",17
2009,"Dentists Per 10,000 Total Population",3
2009,"Nurses Per 10,000 Total Population",54
2010,"Doctors Per 10,000 Total Population",18
2010,"Dentists Per 10,000 Total Population",3
2010,"Nurses Per 10,000 Total Population",58
2011,"Doctors Per 10,000 Total Population",19
2011,"Dentists Per 10,000 Total Population",3
2011,"Nurses Per 10,000 Total Population",61
2012,"Doctors Per 10,000 Total Population",19
2012,"Dentists Per 10,000 Total Population",3
2012,"Nurses Per 10,000 Total Population",65
2013,"Doctors Per 10,000 Total Population",20
2013,"Dentists Per 10,000 Total Population",3
2013,"Nurses Per 10,000 Total Population",67
2014,"Doctors Per 10,000 Total Population",21
2014,"Dentists Per 10,000 Total Population",3
2014,"Nurses Per 10,000 Total Population",69
2015,"Doctors Per 10,000 Total Population",23
2015,"Dentists Per 10,000 Total Population",4
2015,"Nurses Per 10,000 Total Population",70
2016,"Doctors Per 10,000 Total Population",23
2016,"Dentists Per 10,000 Total Population",4
2016,"Nurses Per 10,000 Total Population",72
2017,"Doctors Per 10,000 Total Population",24
2017,"Dentists Per 10,000 Total Population",4
2017,"Nurses Per 10,000 Total Population",74
2018,"Doctors Per 10,000 Total Population",24
2018,"Dentists Per 10,000 Total Population",4
2018,"Nurses Per 10,000 Total Population",75
2019,"Doctors Per 10,000 Total Population",25
2019,"Dentists Per 10,000 Total Population",4
2019,"Nurses Per 10,000 Total Population",75
